Date,Time,PM2.5,Humid,Temp,WindSpeed,row
16-Dec,12 AM,nan,nan,nan,nan,1
16-Dec,1 AM,6.60,30.33,63.84,804.13,2
16-Dec,2 AM,5.76,31.56,58.87,514.54,3
16-Dec,3 AM,4.89,31.45,57.93,494.12,4
16-Dec,4 AM,5.91,31.18,57.61,493.02,5
16-Dec,5 AM,7.78,31.09,56.89,492.99,6
16-Dec,6 AM,10.80,29.53,60.19,499.46,7
16-Dec,7 AM,9.59,26.71,61.07,510.99,8
16-Dec,8 AM,10.82,30.41,48.04,376.84,9
16-Dec,9 AM,15.50,42.98,37.57,0.49,10
16-Dec,10 AM,14.66,45.51,33.33,2.43,11
16-Dec,11 AM,12.37,45.88,31.90,3.65,12
16-Dec,12 PM,11.85,46.76,30.40,5.68,13
16-Dec,1 PM,8.22,47.65,28.55,34.23,14
16-Dec,2 PM,8.53,48.49,28.06,5.49,15
16-Dec,3 PM,7.93,41.97,37.07,197.95,16
16-Dec,4 PM,11.43,48.05,29.90,3.39,17
16-Dec,5 PM,16.50,44.31,34.91,0.98,18
16-Dec,6 PM,27.17,41.41,38.46,0.00,19
16-Dec,7 PM,23.27,39.07,44.67,0.57,20
16-Dec,8 PM,22.66,37.74,47.55,1.53,21
16-Dec,9 PM,18.86,36.74,49.21,0.00,22
16-Dec,10 PM,17.99,35.79,50.91,0.00,23
16-Dec,11 PM,18.42,35.62,50.88,0.00,24
17-Dec,12 AM,18.68,35.12,51.87,0.00,25
17-Dec,1 AM,nan,nan,nan,nan,26
17-Dec,2 AM,nan,nan,nan,nan,27
17-Dec,3 AM,nan,nan,nan,nan,28
17-Dec,4 AM,nan,nan,nan,nan,29
17-Dec,5 AM,32.83,33.13,53.36,0.00,30
17-Dec,6 AM,28.97,33.14,53.42,0.00,31
17-Dec,7 AM,34.94,35.59,49.93,0.00,32
17-Dec,8 AM,nan,nan,nan,nan,33
17-Dec,9 AM,nan,nan,nan,nan,34
17-Dec,10 AM,nan,nan,nan,nan,35
17-Dec,11 AM,nan,nan,nan,nan,36
17-Dec,12 PM,nan,nan,nan,nan,37
17-Dec,1 PM,nan,nan,nan,nan,38
17-Dec,2 PM,nan,nan,nan,nan,39
17-Dec,3 PM,nan,nan,nan,nan,40
17-Dec,4 PM,nan,nan,nan,nan,41
17-Dec,5 PM,nan,nan,nan,nan,42
17-Dec,6 PM,nan,nan,nan,nan,43
17-Dec,7 PM,nan,nan,nan,nan,44
17-Dec,8 PM,nan,nan,nan,nan,45
17-Dec,9 PM,4.83,38.79,42.43,155.43,46
17-Dec,10 PM,nan,nan,nan,nan,47
17-Dec,11 PM,7.76,38.12,43.54,183.58,48
18-Dec,12 AM,7.67,38.09,42.62,14.62,49
18-Dec,1 AM,7.27,38.70,41.07,1.62,50
18-Dec,2 AM,8.17,38.08,42.63,0.38,51
18-Dec,3 AM,8.35,37.70,43.29,0.00,52
18-Dec,4 AM,8.72,36.93,43.45,0.00,53
18-Dec,5 AM,10.57,35.20,45.70,19.09,54
18-Dec,6 AM,14.48,32.86,47.30,153.47,55
18-Dec,7 AM,16.91,31.45,48.98,349.06,56
18-Dec,8 AM,17.21,32.57,46.72,340.90,57
18-Dec,9 AM,16.41,34.37,44.50,289.27,58
18-Dec,10 AM,16.06,36.25,42.09,344.15,59
18-Dec,11 AM,14.82,36.41,41.49,455.40,60
